44.00,40.80,24.51,-54.53
44.00,40.93,24.57,-52.75
44.00,40.12,24.57,-40.17
44.00,39.80,24.58,-36.77
44.00,39.57,24.59,-31.70
44.00,39.09,24.63,-23.09
44.00,39.25,24.56,-22.37
44.00,39.61,24.52,-20.71
44.00,39.70,24.49,-15.61
44.00,39.25,24.48,-5.87
44.00,39.70,24.49,-8.34
33.00,38.67,24.53,-100.00
33.00,39.57,24.56,-77.19
33.00,38.22,24.58,-64.37
33.00,36.64,24.57,-58.99
33.00,38.32,24.56,-88.96
33.00,37.80,24.57,-80.22
33.00,38.80,24.55,-98.59
33.00,40.03,24.56,-100.00
33.00,39.38,24.56,-100.00
33.00,39.12,24.52,-100.00
33.00,38.00,24.57,-100.00
33.00,37.51,24.58,-100.00
33.00,37.00,24.61,-100.00
33.00,35.90,24.62,-100.00
33.00,36.25,24.59,-100.00
33.00,36.48,24.62,-100.00
33.00,35.51,24.62,-100.00
33.00,36.35,24.61,-100.00
33.00,35.16,24.53,-100.00
33.00,34.93,24.38,-100.00
33.00,35.19,24.37,-100.00
33.00,33.10,24.33,-90.01
33.00,32.81,24.31,-97.39
33.00,32.29,24.30,-92.97
33.00,33.97,24.31,-100.00
33.00,35.00,24.26,-100.00
33.00,35.06,24.23,-100.00
33.00,34.71,24.17,-100.00
33.00,35.09,24.13,-100.00
33.00,34.42,24.01,-100.00
33.00,34.16,24.04,-100.00
33.00,34.74,24.01,-100.00
